[2565.4306640625, 4239.935546875]
[2566.424560546875, 4240.93212890625]
[4844.1396484375, 4046.140625]
[4842.1494140625, 4046.691162109375]
[4618.44189453125, 4125.0205078125]
[2567.24462890625, 4240.4658203125]
[5192.52685546875, 3989.983154296875]
[3583.166748046875, 4985.52197265625]
[4620.9013671875, 4122.0283203125]
